Area,Date,date,Claims
Bleckley County,09/12/2020,Sep 12,52
Bleckley County,09/19/2020,Sep 19,60
Bleckley County,09/26/2020,Sep 26,82
Bleckley County,10/03/2020,Oct 03,62
Bleckley County,10/10/2020,Oct 10,102
Bleckley County,10/17/2020,Oct 17,74
Bleckley County,10/24/2020,Oct 24,92
Bleckley County,10/31/2020,Oct 31,60
Bleckley County,11/07/2020,Nov 07,32
Bleckley County,11/14/2020,Nov 14,40
Bleckley County,11/21/2020,Nov 21,36
Bleckley County,11/28/2020,Nov 28,24
Bleckley County,12/05/2020,Dec 05,60
Bleckley County,12/12/2020,Dec 12,58
Bleckley County,12/19/2020,Dec 19,54
Bleckley County,12/26/2020,Dec 26,44
Brantley County,01/02/2021,Jan 02,74
Brantley County,03/07/2020,Mar 07,12
Brantley County,03/14/2020,Mar 14,16
Brantley County,03/21/2020,Mar 21,14
Brantley County,03/28/2020,Mar 28,164
Brantley County,04/04/2020,Apr 04,876
Brantley County,04/11/2020,Apr 11,678
Brantley County,04/18/2020,Apr 18,622
Brantley County,04/25/2020,Apr 25,630
Brantley County,05/02/2020,May 02,618
Brantley County,05/09/2020,May 09,582
Brantley County,05/16/2020,May 16,508
Brantley County,05/23/2020,May 23,436
Brantley County,05/30/2020,May 30,380
Brantley County,06/06/2020,Jun 06,280
Brantley County,06/13/2020,Jun 13,304
Brantley County,06/20/2020,Jun 20,220
Brantley County,06/27/2020,Jun 27,238
Brantley County,07/04/2020,Jul 04,216
Brantley County,07/11/2020,Jul 11,212
Brantley County,07/18/2020,Jul 18,232
Brantley County,07/25/2020,Jul 25,164
Brantley County,08/01/2020,Aug 01,130
Brantley County,08/08/2020,Aug 08,140
Brantley County,08/15/2020,Aug 15,132
Brantley County,08/22/2020,Aug 22,128
Brantley County,08/29/2020,Aug 29,132
Brantley County,09/05/2020,Sep 05,118
Brantley County,09/12/2020,Sep 12,94
Brantley County,09/19/2020,Sep 19,140
Brantley County,09/26/2020,Sep 26,116
Brantley County,10/03/2020,Oct 03,100
Brantley County,10/10/2020,Oct 10,148
Brantley County,10/17/2020,Oct 17,92
Brantley County,10/24/2020,Oct 24,130
Brantley County,10/31/2020,Oct 31,74
Brantley County,11/07/2020,Nov 07,90
Brantley County,11/14/2020,Nov 14,56
Brantley County,11/21/2020,Nov 21,62
Brantley County,11/28/2020,Nov 28,62
Brantley County,12/05/2020,Dec 05,90
Brantley County,12/12/2020,Dec 12,62
Brantley County,12/19/2020,Dec 19,80
Brantley County,12/26/2020,Dec 26,66
Brooks County,01/02/2021,Jan 02,34
Brooks County,03/07/2020,Mar 07,5
Brooks County,03/14/2020,Mar 14,3
Brooks County,03/21/2020,Mar 21,9
Brooks County,03/28/2020,Mar 28,55
Brooks County,04/04/2020,Apr 04,246
Brooks County,04/11/2020,Apr 11,177
Brooks County,04/18/2020,Apr 18,203
Brooks County,04/25/2020,Apr 25,181
Brooks County,05/02/2020,May 02,227
Brooks County,05/09/2020,May 09,163
Brooks County,05/16/2020,May 16,186
Brooks County,05/23/2020,May 23,199
Brooks County,05/30/2020,May 30,172
Brooks County,06/06/2020,Jun 06,144
Brooks County,06/13/2020,Jun 13,192
Brooks County,06/20/2020,Jun 20,210
Brooks County,06/27/2020,Jun 27,179
Brooks County,07/04/2020,Jul 04,204
Brooks County,07/11/2020,Jul 11,216
Brooks County,07/18/2020,Jul 18,217
Brooks County,07/25/2020,Jul 25,123
Brooks County,08/01/2020,Aug 01,74
Brooks County,08/08/2020,Aug 08,91
Brooks County,08/15/2020,Aug 15,62
Brooks County,08/22/2020,Aug 22,92
Brooks County,08/29/2020,Aug 29,69
Brooks County,09/05/2020,Sep 05,83
Brooks County,09/12/2020,Sep 12,42
Brooks County,09/19/2020,Sep 19,61
Brooks County,09/26/2020,Sep 26,62
Brooks County,10/03/2020,Oct 03,55
Brooks County,10/10/2020,Oct 10,55
Brooks County,10/17/2020,Oct 17,70
Brooks County,10/24/2020,Oct 24,46
Brooks County,10/31/2020,Oct 31,48
Brooks County,11/07/2020,Nov 07,25
Brooks County,11/14/2020,Nov 14,15
Brooks County,11/21/2020,Nov 21,28
Brooks County,11/28/2020,Nov 28,19
Brooks County,12/05/2020,Dec 05,31
Brooks County,12/12/2020,Dec 12,25
Brooks County,12/19/2020,Dec 19,27
Brooks County,12/26/2020,Dec 26,25
Bryan County,01/02/2021,Jan 02,63
Bryan County,03/07/2020,Mar 07,11
Bryan County,03/14/2020,Mar 14,28
Bryan County,03/21/2020,Mar 21,66
